@relation 'golub-data-train(1)-weka.filters.unsupervised.attribute.Remove-R8-18,20-22,24-36,38-49,51-62,64-79,81-139,141-192,194-269,271-358,360-434,436-511,513-602,604-651,653-738,740-846,848-943,945-1099,1101-1278,1280-1491,1493-1800,1802-2108,2110-2444,2446-3059,3061-3362,3364-4086,4088-4296,4298-4512,4514-4893,4895-5986,5988-6410,6412-6718,6720-7127,7129-weka.filters.unsupervised.attribute.Remove-R34_clustered'

@attribute Instance_number numeric
@attribute 'Gene Accession Number' {ALL-T-cell-2,ALL-T-cell-3,ALL-T-cell-6,ALL-T-cell-9,ALL-T-cell-10,ALL-T-cell-11,ALL-T-cell-14,ALL-T-cell-23,ALL-B-cell-1,ALL-B-cell-4,ALL-B-cell-5,ALL-B-cell-7,ALL-B-cell-8,ALL-B-cell-12,ALL-B-cell-13,ALL-B-cell-15,ALL-B-cell-16,ALL-B-cell-17,ALL-B-cell-18,ALL-B-cell-19,ALL-B-cell-20,ALL-B-cell-21,ALL-B-cell-22,ALL-B-cell-24,ALL-B-cell-25,ALL-B-cell-26,ALL-B-cell-27,AML-28,AML-29,AML-30,AML-31,AML-32,AML-33,AML-34,AML-35,AML-36,AML-37,AML-38}
@attribute AFFX-BioB-5_at numeric
@attribute AFFX-BioB-M_at numeric
@attribute AFFX-BioB-3_at numeric
@attribute AFFX-BioC-5_at numeric
@attribute AFFX-BioC-3_at numeric
@attribute AFFX-BioDn-5_at numeric
@attribute AFFX-CreX-3_st numeric
@attribute AFFX-DapX-3_at numeric
@attribute AFFX-HUMISGF3A/M97935_MA_at numeric
@attribute AFFX-HUMTFRR/M11507_M_at numeric
@attribute AB000115_at numeric
@attribute AB001325_at numeric
@attribute AF006084_at numeric
@attribute D13168_at numeric
@attribute D17391_at numeric
@attribute D31716_at numeric
@attribute D43772_at numeric
@attribute D63134_at numeric
@attribute D82344_at numeric
@attribute D85939_at numeric
@attribute D87468_at numeric
@attribute HG2460-HT2556_at numeric
@attribute HG3872-HT4142_at numeric
@attribute J04058_at numeric
@attribute L10844_at numeric
@attribute L34600_at numeric
@attribute M21121_at numeric
@attribute M62424_at numeric
@attribute S57235_at numeric
@attribute U33053_at numeric
@attribute U52111_rna3_at numeric
@attribute X06290_at numeric
@attribute X71874_cds1_at numeric
@attribute X98330_at numeric
@attribute M69203_s_at numeric
@attribute X57809_at numeric
@attribute Y10514_s_at numeric
@attribute L49218_f_at numeric
@attribute Z78285_f_at numeric
@attribute Cluster {cluster0,cluster1}

@data
0,ALL-T-cell-2,-139,-73,-1,283,-264,-400,-423,-161,-219,153,250,941,866,22,-82,196,-634,-353,49,-320,-16,-9,-97,176,-35,91,276,73,-2482,889,219,0,1085,21,279,70,21,11,-14,cluster1
1,ALL-T-cell-3,-76,-49,-307,309,-376,-650,-501,-221,104,66,358,1924,1408,-44,-125,206,112,-614,192,54,407,22,-224,182,-25,54,378,53,-4098,550,-384,85,3048,6,150,-256,44,41,-41,cluster0
2,ALL-T-cell-6,-138,-85,215,71,-272,-558,-140,-49,-327,-40,71,1374,983,24,30,90,-23,-368,140,197,-37,-83,-115,151,80,163,160,42,-2036,471,-357,37,2459,28,58,-60,-80,26,-53,cluster0
3,ALL-T-cell-9,5,-127,106,268,-210,-535,-323,-69,-100,-41,198,1897,813,43,-89,150,109,-486,76,219,-62,-88,-112,242,0,130,327,48,-2774,784,-175,37,837,13,180,-144,20,115,-39,cluster0
4,ALL-T-cell-10,-88,-105,42,219,-178,-246,-443,-142,-109,-14,113,792,765,-2,-44,178,124,-364,15,101,-169,31,-182,79,-321,115,130,19,-2416,466,86,16,2225,-10,101,-67,62,9,7,cluster1
5,ALL-T-cell-11,-165,-155,-71,82,-163,-430,-204,-95,-276,-4,164,1009,460,-3,-101,67,56,-312,43,-534,292,55,-170,85,-32,106,-50,17,-2189,798,-55,40,-1,29,180,-72,-20,25,-62,cluster1
6,ALL-T-cell-14,-113,-147,-118,243,-127,-398,-142,-33,91,7,165,1100,953,1,-12,122,80,-332,115,-620,16,16,-194,256,-81,318,82,49,-2416,863,-85,83,1772,35,95,-78,28,8,-22,cluster1
7,ALL-T-cell-23,-74,-321,-11,-36,-317,-499,-131,-64,-60,45,197,807,431,70,-64,108,191,-381,66,-22,-214,89,-125,79,-134,79,112,34,-2836,454,-569,-41,824,5,47,-85,125,9,36,cluster0
8,ALL-B-cell-1,-214,-153,-58,88,-295,-558,-565,-231,-13,70,281,1149,1190,37,-117,188,136,-417,132,-268,287,-56,-131,138,-60,96,148,30,-2825,610,-271,58,1820,55,214,349,82,36,-37,cluster0
9,ALL-B-cell-4,-135,-114,265,12,-419,-585,-101,-27,-148,-54,118,1078,948,5,-116,180,-73,-386,140,-362,-220,19,-183,191,51,153,73,69,-3628,238,109,21,1295,22,-179,-236,-51,-50,-91,cluster0
